Time_sec,Car_ID,sigAcc,sigFollowing,sigFrameId,sigGlobalX,sigGlobalY,sigLocalX,sigLocalY,sigPreceding,sigSpaceHeadway,sigTimeHeadway,sigTotalFrames,sigVel,v_Length,v_Width,v_Class,Lane_ID
9.0,17.0,0.0,-1.0,5.0,308.80427252875,144.91459260349,0.0,147.2537052321,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,2.0
9.0,21.0,3.0052178059705,-1.0,1.0,161.9126718274,37.556082477151,0.0,8.1052178059705,5.0,31.489158407785,10.478161797533,100.0,3.0052178059705,5.0,1.8,1.0,8.0
10.0,1.0,-0.5,-1.0,4.0,158.23913104911,35.776938630735,0.0,33.73926543016,-1.0,-1.0,-1.0,100.0,7.4108828362077,5.0,1.8,1.0,8.0
10.0,4.0,0.0,-1.0,8.0,159.30941464285,-25.455798497398,0.0,26.867872139509,14.0,140.72989480761,-1.0,100.0,0.0,5.0,1.8,1.0,27.0
10.0,5.0,0.0,-1.0,3.0,147.33137530751,31.268269634618,0.0,20.074376213755,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,9.0
10.0,12.0,-2.0773085218854,11.0,9.0,164.4582098197,-17.34937376084,0.0,52.656392944069,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,1.0
10.0,14.0,0.0,4.0,9.0,199.81683637967,-18.35392288921,0.0,15.877766947122,8.0,244.41869547602,-1.0,100.0,0.0,5.0,1.8,1.0,4.0
10.0,16.0,0.0,-1.0,9.0,312.70480958366,148.11088225405,0.0,29.408468415099,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,25.0
10.0,17.0,0.0,-1.0,6.0,307.70326002875,144.91564260349,0.0,182.2537052321,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,2.0
10.0,21.0,4.4066032343544,-1.0,2.0,161.70478683299,33.904166041842,0.0,15.517038846295,9.0,55.381405437833,7.4720375919122,100.0,7.4118210403249,5.0,1.8,1.0,28.0
11.0,1.0,-0.5,21.0,5.0,158.43367113864,32.30980621274,0.0,40.650148266368,-1.0,-1.0,-1.0,100.0,6.9108828362077,5.0,1.8,1.0,28.0
11.0,4.0,0.0,-1.0,9.0,159.30941464285,-25.455798497398,0.0,26.867872139509,14.0,140.72989480761,-1.0,100.0,0.0,5.0,1.8,1.0,27.0
11.0,5.0,0.0,-1.0,4.0,143.19226761146,25.837305070739,0.0,55.074376213755,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,9.0
11.0,12.0,0.0,11.0,10.0,164.4582098197,-17.34937376084,0.0,52.656392944069,11.0,30.079996429891,-1.0,100.0,0.0,5.0,1.8,1.0,1.0
11.0,14.0,0.0,4.0,10.0,199.81683637967,-18.35392288921,0.0,15.877766947122,8.0,257.5772018559,-1.0,100.0,0.0,5.0,1.8,1.0,4.0
11.0,16.0,0.0,-1.0,10.0,312.70480958366,148.11088225405,0.0,29.408468415099,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,25.0
11.0,17.0,0.0,-1.0,7.0,306.60224752875,144.91669260349,0.0,217.2537052321,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,2.0
11.0,21.0,-0.5,-1.0,3.0,160.81224212322,33.472361553631,0.0,22.42885988662,1.0,13.221288379747,1.9128516642158,100.0,6.9118210403249,5.0,1.8,1.0,28.0
12.0,1.0,-0.5,21.0,6.0,157.61110406559,31.903161892879,0.0,47.061031102575,-1.0,-1.0,-1.0,100.0,6.4108828362077,5.0,1.8,1.0,28.0
